,0
0,2.563127551020408
1,2.800136612021858
2,2.972158469945355
3,3.1532622950819666
4,3.6900327868852463
5,3.838180327868853
6,4.086661202185792
7,4.159573770491804
8,4.268573770491803
9,4.437737704918033
10,4.533336734693878
11,5.166655737704917
12,5.347420765027322
13,5.668010928961749
14,6.113245901639344
15,6.532480874316941
16,6.734469945355192
17,7.215404371584701
18,7.449885245901638
19,7.866836065573769
20,7.473142857142854
21,8.52303278688525
22,9.439846994535518
23,10.04751912568306
24,9.243601092896176
25,10.207338797814208
26,10.439726775956286
27,10.519475409836064
28,10.684207650273226
29,11.415808743169404
30,12.145418367346936
31,13.335617486338796
32,14.09401092896175
33,15.010344262295082
34,15.183781420765028
35,15.319147540983607
36,15.517693989071034
37,16.29248087431694
38,17.915333333333336
39,18.163830601092897
40,18.336515306122447
41,20.54062841530055
42,20.582775956284156
43,20.50091803278689
44,21.312295081967214
45,22.429890710382516
46,23.324945355191257
47,24.498114754098363
48,25.791737704918027
49,27.902721311475418
50,27.580362244897966
51,30.277530054644817
52,30.71849726775956
53,33.29504918032788
54,33.79017486338799
55,35.85326229508196
56,37.272666666666666
57,42.49181420765028
58,41.694251366120206
59,42.84553551912569
60,41.704035714285716
61,45.47916393442623
62,48.07212021857926
63,52.04243715846992
64,46.652464480874315
65,45.206202185792336
66,48.56324590163937
67,50.249775956284175
68,49.227770491803284
69,41.99661202185792
70,46.02957653061227
71,44.865508196721315
72,46.77058469945354
73,50.69571584699455
74,52.73403825136611
75,53.31223497267758
76,52.271956284153006
77,57.39051912568307
78,57.51480327868854
79,61.98053551912567
80,53.26288775510204
81,51.05848087431691
82,45.93915300546447
83,48.187229508196715
84,52.32969398907104
85,54.86832786885243
86,59.55903278688528
87,64.3718961748634
88,61.63734972677596
89,64.82307103825138
90,65.36692857142857
91,71.04668852459018
92,71.10679234972677
93,72.19279781420765
94,70.88414207650274
95,53.92849180327868
96,61.803934426229475
97,69.50764480874317
98,73.85064480874318
99,73.3806174863388
100,74.55955778894472
101,79.82462626262631
102,81.28182828282831
103,83.46668181818183
104,86.00851010101013
105,93.89913131313139
106,100.16518686868697
107,103.3331212121212
108,105.85054040404043
109,110.65773232323234
110,117.89965656565663
111,119.40878787878788
112,124.56041414141416
113,131.6901212121212
114,138.8571262626263
115,144.55926767676766
116,151.0761060606061
117,155.8685404040404
118,164.954792929293
119,176.20096464646474
120,190.13599999999997
121,183.83718781725884
122,192.00035532994912
123,202.0383959390862
124,201.38505583756327
125,200.5400609137055
126,212.71105583756346
127,216.80051269035522
128,223.1728883248731
129,229.74850761421325
130,228.56346192893415
131,222.00382233502552
132,219.04442131979692
133,219.3649847715738
134,225.9105076142132
135,232.03926395939072
136,233.90063451776658
137,238.7432994923858
138,245.7654263959392
139,248.7212994923859
140,252.5131421319797
141,256.3084213197971
142,247.60740101522842
143,237.79097959183662
144,238.24986734693871
145,241.83287244897963
146,248.28726530612246
147,248.32936224489796
148,247.62056122448982
149,250.63282142857148
150,256.96149999999994
151,258.76800510204095
152,262.40058163265303
153,272.2989081632655
154,278.8185
155,284.0725459183672
156,289.5912142857142
157,294.7587653061224
158,295.809
159,284.83558673469383
160,298.54140306122457
161,302.6081887755103
162,304.58139285714293
163,305.12415306122455
164,304.7604438775509
165,304.34342346938774
166,303.04350510204057
167,306.20178061224493
168,309.189117346939
169,307.88530102040806
170,289.6787704081633
